timestamp,voltage,current,power,energy
1698525348,2.5690,-0.0010,-0.0025690,-0.0064225
1698525353,2.5650,0.0010,0.0025650,-0.0064325
1698525358,2.5850,-0.0010,-0.0025850,-0.0064825
1698525363,2.5930,0.0000,0.0000000,-0.0129450
1698525368,2.5930,0.0010,0.0025930,-0.0064625
1698525373,2.5930,0.0010,0.0025930,0.0065025
1698525378,2.5770,0.0000,0.0000000,0.0129850
1698525383,2.5690,0.0010,0.0025690,0.0194075
1698525388,2.5410,0.0000,0.0000000,0.0258300
1698525393,2.5650,0.0000,0.0000000,0.0258300
1698525398,2.5690,0.0010,0.0025690,0.0322525
1698525403,2.5690,0.0000,0.0000000,0.0386750
1698525408,2.5730,0.0000,0.0000000,0.0386750
1698525413,2.6130,0.0000,0.0000000,0.0386750
1698525418,2.6010,0.0000,0.0000000,0.0386750
1698525423,2.5810,0.0000,0.0000000,0.0386750
1698525428,2.5730,0.0000,0.0000000,0.0386750
1698525433,2.6890,0.0000,0.0000000,0.0386750
1698525438,2.7210,0.0010,0.0027210,0.0454775
1698525443,2.6530,0.0000,0.0000000,0.0522800
1698525448,2.6410,0.0000,0.0000000,0.0522800
1698525453,2.6250,-0.0010,-0.0026250,0.0457175
1698525458,2.6170,0.0000,0.0000000,0.0391550
1698525463,2.6250,0.0000,0.0000000,0.0391550
1698525468,2.7970,0.0000,0.0000000,0.0391550
1698525473,2.6650,0.0010,0.0026650,0.0458175
1698525478,2.6890,0.0010,0.0026890,0.0592025
1698525483,2.7450,0.0010,0.0027450,0.0727875
1698525488,2.6730,0.0000,0.0000000,0.0796500
1698525493,2.7010,0.0000,0.0000000,0.0796500
1698525498,2.6730,0.0010,0.0026730,0.0863325
1698525503,2.6810,0.0000,0.0000000,0.0930150
1698525508,2.6730,0.0000,0.0000000,0.0930150
1698525513,2.6770,0.0000,0.0000000,0.0930150
1698525518,2.6810,0.0000,0.0000000,0.0930150
1698525523,2.6010,0.0010,0.0026010,0.0995175
1698525528,2.6450,0.0000,0.0000000,0.1060200
1698525533,2.6370,-0.0010,-0.0026370,0.0994275
1698525538,2.6250,0.0010,0.0026250,0.0993975
1698525543,2.6410,0.0000,0.0000000,0.1059600
1698525548,2.6890,0.0010,0.0026890,0.1126825
1698525553,2.7010,0.0000,0.0000000,0.1194050
1698525558,2.7170,-0.0010,-0.0027170,0.1126125
1698525563,2.5570,0.0000,0.0000000,0.1058200
1698525568,2.6050,-0.0010,-0.0026050,0.0993075
1698525573,2.5930,0.0000,0.0000000,0.0927950
169852,0.0000,0.0000000,0.2008350
1698525948,0.5290,0.0000,0.0000000,0.2008350
1698525953,0.5330,0.0000,0.0000000,0.2008350
1698525958,0.5130,0.0000,0.0000000,0.2008350
1698525963,0.5090,0.0000,0.0000000,0.2008350
1698525968,0.5130,0.0000,0.0000000,0.2008350
1698525973,0.5210,0.0000,0.0000000,0.2008350
1698525978,0.5210,0.0000,0.0000000,0.2008350
1698525983,0.5170,0.0000,0.0000000,0.2008350
1698525988,0.5170,0.0000,0.0000000,0.2008350
1698525993,0.5210,0.0000,0.0000000,0.2008350
1698525998,0.5130,0.0000,0.0000000,0.2008350
1698526003,0.5210,0.0000,0.0000000,0.2008350
1698526008,0.5250,0.0000,0.0000000,0.2008350
1698526013,0.5170,-0.0010,-0.0005170,0.1995425
1698526018,0.5050,0.0000,0.0000000,0.1982500
1698526023,0.6250,0.0000,0.0000000,0.1982500
1698526028,0.5250,0.0000,0.0000000,0.1982500
1698526033,0.5290,0.0000,0.0000000,0.1982500
1698526038,0.5250,-0.0010,-0.0005250,0.1969375
1698526043,0.5330,0.0000,0.0000000,0.1956250
1698526048,0.5410,0.0010,0.0005410,0.1969775
1698526053,2.5490,0.0000,0.0000000,0.1983300
1698526058,2.5570,0.0000,0.0000000,0.1983300
1698526063,2.5410,0.0000,0.0000000,0.1983300
1698526068,2.5450,0.0000,0.0000000,0.1983300
1698526073,2.5370,0.0000,0.0000000,0.1983300
